берем деталь ,Кол-во,артикул получившейся детали,Кол-во
сборка,операция,02.03.01.СО5,
М4.27,"0,56",02.03.01.ГП2,
,операция,,
02.12.01.РТ06,1,02.03.01.СО6,
02.12.01.РТ07,1,02.03.01.СО6,
02.03.01.ГП2,,02.03.01.СО6,
02.12.01.РТ11,2,02.03.01.СО6,
02.12.01.РТ13,2,02.03.01.СО6,
02.03.01.03,1,02.03.01.СО6,
02.01.01.Р07,1,02.03.01.СО6,
02.01.01.Р09,20,02.03.01.СО6,
02.01.01.Р07,1,02.03.01.СО6,
гибка,операция,02.03.01.СО6,
сборка,операция,02.03.01.СО6,
02.12.01.РТ09,1,02.03.01.СО7,
02.12.01.РТ10,1,02.03.01.СО7,
02.12.01.РТ12,2,02.03.01.СО7,
02.02.01.14,1,02.03.01.СО7,
02.01.01.Р10,18,02.03.01.СО7,
гибка,операция,02.03.01.СО7,
сборка,операция,02.03.01.СО7,
02.02.01.Р32,3,02.03.01.СО8,3
02.03.01.Р05,3,02.03.01.СО8,3
02.02.01.Р34,2,02.03.01.СО8,1
02.02.01.Р35,4,02.03.01.СО8,1
М3.26,6,02.03.01.СО8,3
гибка,операция,02.03.01.СО8,3
