Раскрой,Деталь,Фото,,Название операции,конусы,ширина листа,длина листа,площ.листа,площ детали,кол-во на листе,кол-во в изделии,площ всех дет.одного вида,% на листе,площадь детали с учетом отходов,,"периметр, мм",% от сумм периметров и отверстий,мин,сек,общее время резки  листа,количество отверстий,время резки детали,,,,,,,,
,,Фото,,Название операции,01.00.03.07,ширина листа,длина листа,площ.листа,площ детали,кол-во на листе,кол-во в изделии,площ всех дет.одного вида,% на листе,площадь детали с учетом отходов,,"периметр, мм",% от сумм периметров и отверстий,мин,сек,общее время резки  листа,количество отверстий,время резки детали,,,,,,,,
01.00.03.07,01.00.03.Р26,,,4,"оц.0,35",1250,2000,25000,19484,3,1,"584,52","2,817","234,75",704,740,"3,0",10,10,610,2,18,,,,,,,,
01.00.03.07,01.00.03.Р27,,,резка металического листа,"оц.0,35",1250,2000,25000,13515,3,1,"405,45","1,954","162,83",488,656,"2,7",,,610,2,16,,,,,,,,
01.00.03.07,01.00.03.Р28,,,резка металического листа,"оц.0,35",1250,2000,25000,6447,3,1,"193,41","0,932","77,68",233,352,"1,3",,,610,,8,,,,,,,,
01.00.03.07,01.00.03.Р29,,,резка металического листа,"оц.0,35",1250,2000,25000,24515,2,2,"490,3","2,363","295,36",591,616,"2,2",,,610,,7,,,,,,,,
01.00.03.07,01.00.03.Р23,,,резка металического листа,"оц.0,35",1250,2000,25000,12433,2,2,"248,66","1,198","149,80",300,620,"3,1",,,610,5,9,,,,,,,,
01.00.03.07,01.00.03.Р30,,,резка металического листа,"оц.0,35",1250,2000,25000,800000,1,1,8000,"38,555","9638,66",9639,3600,"20,3",,,610,42,124,,,,,,,,
01.00.03.07,01.00.03.Р31,,,резка металического листа,"оц.0,35",1250,2000,25000,208760,1,1,"2087,6","10,061","2515,21",2515,2859,"13,1",,,610,16,80,,,,,,,,
01.00.03.07,01.00.03.Р32,,,резка металического листа,"оц.0,35",1250,2000,25000,25597,1,1,"255,97","1,234","308,40",308,2492,"8,9",,,610,,54,,,,,,,,
01.00.03.07,01.00.03.Р33,,,резка металического листа,"оц.0,35",1250,2000,25000,175584,1,1,"1755,84","8,462","2115,49",2115,2803,"12,1",,,610,12,74,,,,,,,,
01.00.03.07,01.00.03.Р34,,,резка металического листа,"оц.0,35",1250,2000,25000,241481,1,1,"2414,81","11,638","2909,44",2909,2486,"9,9",,,610,6,61,,,,,,,,
01.00.03.07,01.00.03.Р35,,,резка металического листа,"оц.0,35",1250,2000,25000,180365,1,1,"1803,65","8,692","2173,10",2173,2364,"9,5",,,610,6,58,,,,,,,,
01.00.03.07,01.00.03.Р36,,,резка металического листа,"оц.0,35",1250,2000,25000,9967,3,1,"299,01","1,441","120,09",360,432,"1,5",,,610,,9,,,,,,,,
01.00.03.07,01.00.03.Р13,,,резка металического листа,"оц.0,35",1250,2000,25000,18095,5,5,"904,75","4,360","218,01",1090,646,"2,7",,,610,2,3,,,,,,,,
01.00.03.07,01.00.03.Р25,,,резка металического листа,"оц.0,35",1250,2000,25000,17599,3,2,"527,97","2,544","212,04",636,678,"3,1",,,610,4,10,,,,,,,,
01.00.03.07,01.00.03.Р37,,,резка металического листа,"оц.0,35",1250,2000,25000,22880,2,2,"457,6","2,205","275,67",551,696,"2,5",,,610,,8,,,,,,,,
01.00.03.07,01.00.03.Р15,,,резка металического листа,"оц.0,35",1250,2000,25000,16012,2,2,"320,24","1,543","192,92",386,642,"4,1",,,610,10,12,,,,,,,,
,,,,,,,,,,,,"20749,78","17,0",,25000,22682,,,,,107,,,,,,,,,
,,,,,,,,,,,,,% отхода,,проверка,общ периметр,,,,,общ кол отвер,провер врем рез,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Фото,,Название операции,01.00.03.08,ширина листа,длина листа,площ.листа,площ детали,кол-во на листе,кол-во в изделии,площ всех дет.одного вида,% на листе,площадь детали с учетом отходов,,"периметр, мм",% от сумм периметров и отверстий,мин,сек,общее время резки  листа,количество отверстий,время резки детали,,,,,,,,
01.00.03.08,01.00.03.Р38,,,резка металического листа,"оц.0,55",1250,2200,27500,138387,1,1,"1383,87","5,611","1543,04",1543,1465,"19,6",12,40,760,98,149,,,,,,,,
01.00.03.08,01.00.03.Р39,,,резка металического листа,"оц.0,55",1250,2200,27500,107320,1,1,"1073,2","4,351","1196,64",1197,1300,"5,7",,,760,11,43,,,,,,,,
01.00.03.08,01.00.03.Р40,,,резка металического листа,"оц.0,55",1250,2200,27500,112247,1,1,"1122,47","4,551","1251,58",1252,1315,"5,7",,,760,11,44,,,,,,,,
01.00.03.08,01.00.03.Р41,,,резка металического листа,"оц.0,55",1250,2200,27500,6482,3,1,"194,46","0,788","72,28",217,321,"1,6",,,760,4,12,,,,,,,,
01.00.03.08,01.00.03.Р42,,,резка металического листа,"оц.0,55",1250,2200,27500,4239,3,1,"127,17","0,516","47,27",142,384,"2,0",,,760,5,15,,,,,,,,
01.00.03.08,01.00.03.Р43,,,резка металического листа,"оц.0,55",1250,2200,27500,162339,1,1,"1623,39","6,582","1810,11",1810,2084,"8,1",,,760,11,62,,,,,,,,
01.00.03.08,01.00.03.Р44,,,резка металического листа,"оц.0,55",1250,2200,27500,100820,1,1,"1008,2","4,088","1124,16",1124,1942,"7,7",,,760,11,58,,,,,,,,
